train_acc,train_loss,val_acc,val_loss
0.026568421,4.4485803,0.0448,4.2595034
0.044673684,4.1913705,0.0512,4.1549215
0.057747368,4.066321,0.058,4.084763
0.076884211,3.951654,0.0884,3.8939033
0.092905263,3.8477323,0.1008,3.747329
0.107768421,3.7542787,0.11,3.6490476
0.124252632,3.6645238,0.1192,3.6453767
0.137726316,3.5791364,0.1568,3.4713256
0.155747368,3.4941454,0.1624,3.4296627
0.167178947,3.4186625,0.174,3.3685648
0.179368421,3.3622513,0.1848,3.309111
0.191894737,3.287801,0.2032,3.231145
0.204673684,3.2262335,0.2076,3.2417371
0.215347368,3.1649225,0.2164,3.1486099
0.225094737,3.1116312,0.2296,3.0949805
0.235684211,3.0519762,0.242,2.9897985
0.250631579,2.9854836,0.2612,2.8792422
0.259242105,2.9279294,0.262,2.8889802
0.270568421,2.867687,0.2652,2.9227676
0.282463158,2.809658,0.2884,2.8270407
0.289978947,2.7605488,0.276,2.8509355
0.300757895,2.7077699,0.2884,2.8187747
0.310821053,2.662741,0.3172,2.687891
0.317010526,2.6246243,0.3132,2.6553967
0.325642105,2.5896463,0.334,2.593577
0.337663158,2.5335188,0.314,2.6816196
0.342505263,2.5068612,0.3344,2.6011004
0.353978947,2.4593596,0.3504,2.567286
0.358526316,2.4275985,0.3364,2.5745544
0.367494737,2.396411,0.3688,2.4859686
0.372147368,2.3673623,0.3512,2.526589
0.3796,2.3362496,0.3612,2.4703112
0.383957895,2.3094673,0.3848,2.3871925
0.391431579,2.2779555,0.3768,2.4000797
0.396989474,2.2436109,0.398,2.303099
0.402757895,2.224879,0.3836,2.364793
0.408673684,2.1991832,0.3992,2.3033667
0.414526316,2.1713867,0.3892,2.3408463
0.416884211,2.1537783,0.4072,2.2817087
0.424442105,2.124793,0.3956,2.3302076
0.431915789,2.1051629,0.3908,2.3109422
0.434210526,2.0782347,0.4124,2.2318816
0.437263158,2.062607,0.4268,2.1862757
0.445515789,2.0368514,0.3932,2.3116627
0.449031579,2.0218284,0.4116,2.2306957
0.452231579,2.0071692,0.4284,2.1826546
0.455052632,1.9817277,0.4124,2.2232308
0.464231579,1.9640481,0.4224,2.1599352
0.463957895,1.951133,0.4292,2.1401644
0.4688,1.9306948,0.4448,2.1333742
0.471515789,1.9163558,0.4396,2.093631
0.475831579,1.8975843,0.4328,2.1511185
0.479494737,1.8845683,0.4392,2.0926151
0.483747368,1.8650619,0.4432,2.068378
0.489894737,1.8465154,0.4428,2.1222012
0.489747368,1.8357897,0.4524,2.0782578
0.4936,1.8253049,0.4504,2.0532632
0.498589474,1.804072,0.4536,2.0451882
0.498505263,1.7942011,0.4536,2.044711
0.505136842,1.7761918,0.4568,2.0294566
0.509242105,1.7678603,0.4656,2.0258656
0.510210526,1.7551483,0.4548,2.0348988
0.512378947,1.7390918,0.464,2.0316947
0.518210526,1.7229253,0.4592,2.0050256
0.520105263,1.7131522,0.4524,2.0092916
0.523326316,1.702379,0.462,2.0179949
0.522863158,1.6947384,0.4688,1.9946747
0.527831579,1.6817671,0.4588,2.0074615
0.530989474,1.6683755,0.4736,1.9718479
0.532189474,1.6610651,0.4796,1.9600399
0.534778947,1.6542008,0.4696,1.952814
0.539368421,1.639695,0.482,1.9796853
0.541536842,1.6287104,0.4764,1.9634018
0.545284211,1.6180289,0.47,1.9693714
0.543536842,1.6129676,0.4732,1.9988059
0.546189474,1.6037261,0.4764,1.9537685
0.547389474,1.6007733,0.4708,1.9747118
0.550378947,1.588892,0.4756,1.9492493
0.549263158,1.5783776,0.4804,1.9417447
0.553410526,1.5746094,0.4808,1.9447461
0.5536,1.5721087,0.482,1.9631844
0.557326316,1.5578196,0.4764,1.9467686
0.557073684,1.5620496,0.4864,1.941227
0.560926316,1.5489775,0.4832,1.9323512
0.561452632,1.5397484,0.4828,1.9310416
0.557052632,1.5415313,0.4772,1.9384519
0.561410526,1.5362246,0.4832,1.9174403
0.564863158,1.5324231,0.4768,1.9388219
0.564505263,1.5222244,0.48,1.9377573
0.567452632,1.521111,0.4828,1.9281602
0.566694737,1.5257838,0.4872,1.9281181
0.565747368,1.524202,0.48,1.9364694
0.566694737,1.5156139,0.482,1.9435507
0.5692,1.5189157,0.4844,1.9341975
0.570168421,1.5119298,0.4788,1.9425775
0.571094737,1.504127,0.4816,1.9305148
0.567831579,1.5073047,0.4864,1.9305773
0.570147368,1.4989102,0.484,1.9257213
0.574652632,1.4996536,0.4832,1.9322734
0.570442105,1.5068867,0.4844,1.926802
