train_acc,train_loss,val_acc,val_loss
0.035115789,4.362952,0.0772,4.0215993
0.086778947,3.9261606,0.1092,3.7673972
0.122694737,3.7087228,0.14,3.561594
0.151831579,3.5313385,0.1704,3.3885882
0.183852632,3.3478568,0.1988,3.2548807
0.209326316,3.200629,0.2164,3.184653
0.237431579,3.0693746,0.2376,3.089734
0.255831579,2.9659386,0.2572,2.989089
0.271957895,2.8714962,0.284,2.8827527
0.290821053,2.7818458,0.288,2.8278947
0.302252632,2.720287,0.3108,2.734099
0.312547368,2.6598883,0.3028,2.719741
0.323831579,2.604883,0.3156,2.6183221
0.336947368,2.549174,0.3284,2.5966902
0.346147368,2.505107,0.328,2.6156864
0.350715789,2.4795313,0.3344,2.5540853
0.3584,2.4433398,0.3372,2.4927657
0.368505263,2.3959374,0.3404,2.509004
0.375452632,2.366081,0.3532,2.4874752
0.377768421,2.3383307,0.3652,2.4493084
0.384757895,2.311813,0.3664,2.4408195
0.392021053,2.288315,0.3536,2.4959474
0.399915789,2.2515411,0.3948,2.3160484
0.401326316,2.239621,0.3868,2.3611336
0.408610526,2.2072122,0.3728,2.3813853
0.411915789,2.1911976,0.3816,2.3758528
0.414694737,2.1765404,0.3696,2.3943489
0.417810526,2.1584868,0.398,2.3115466
0.425473684,2.1301064,0.4096,2.2678537
0.429221053,2.117171,0.3924,2.301528
0.431326316,2.1037583,0.4132,2.270458
0.435368421,2.0851161,0.4092,2.2562935
0.441431579,2.077549,0.41,2.2394216
0.444357895,2.0506382,0.4,2.2439828
0.447094737,2.0434318,0.4088,2.263804
0.448547368,2.0281894,0.412,2.2365618
0.453010526,2.0119188,0.4208,2.2030473
0.458673684,1.9979413,0.4184,2.2141578
0.460357895,1.9832543,0.4192,2.1965246
0.461789474,1.976021,0.4128,2.2130828
0.464863158,1.9582887,0.428,2.1478105
0.466610526,1.951947,0.4232,2.203099
0.467536842,1.9429027,0.42,2.213784
0.472147368,1.9254129,0.4236,2.189327
0.475936842,1.9115611,0.436,2.1675527
0.476442105,1.9044523,0.4336,2.1612046
0.480252632,1.8932282,0.4264,2.1559913
0.480989474,1.8859606,0.4364,2.1307044
0.482210526,1.8751581,0.4284,2.195688
0.485768421,1.8654252,0.4452,2.134957
0.4892,1.8574504,0.4404,2.1121318
0.4892,1.8489442,0.4432,2.0978148
0.493031579,1.8383251,0.44,2.077351
0.492147368,1.8315693,0.4456,2.1202126
0.497010526,1.8177662,0.4456,2.1118674
0.494168421,1.820936,0.4512,2.1079679
0.499431579,1.8082478,0.4568,2.0677085
0.500336842,1.798423,0.444,2.0831797
0.505410526,1.7901541,0.4496,2.08465
0.504947368,1.7873424,0.4544,2.0779684
0.506252632,1.7725767,0.4496,2.102037
0.508105263,1.7685503,0.4556,2.0825884
0.509726316,1.7599549,0.4624,2.0510178
0.511852632,1.7541214,0.454,2.0581667
0.512947368,1.7511873,0.4556,2.0273936
0.514,1.7464666,0.4612,2.038482
0.516252632,1.741809,0.456,2.0435414
0.520042105,1.728638,0.4624,2.0483057
0.517157895,1.7297496,0.4536,2.0446985
0.521178947,1.7216606,0.4636,2.0285425
0.522273684,1.7171966,0.4628,2.0100546
0.522168421,1.7071304,0.4696,2.0151021
0.524778947,1.7071046,0.4664,2.0072603
0.523578947,1.7031507,0.4652,2.015009
0.523915789,1.6975704,0.4612,2.029992
0.526694737,1.6969554,0.4748,1.991012
0.528968421,1.68702,0.4692,2.0065496
0.528442105,1.6837857,0.4668,2.016387
0.530863158,1.6797551,0.4696,2.0023186
0.529010526,1.6743788,0.4716,2.0211256
0.533010526,1.6697084,0.4656,2.0053682
0.531957895,1.6677471,0.4668,1.998231
0.534294737,1.6608535,0.4732,2.00457
0.534315789,1.6611671,0.474,2.0030718
0.533915789,1.6613909,0.474,2.0030997
0.534652632,1.659227,0.4724,1.9893544
0.534378947,1.6531549,0.472,1.9893881
0.536694737,1.6521518,0.472,1.9950572
0.533810526,1.6536067,0.47,1.9836888
0.537873684,1.6484352,0.4764,1.9850643
0.538736842,1.6423656,0.4724,1.9934834
0.537978947,1.6483219,0.4712,1.9927461
0.537263158,1.6427333,0.474,1.9967233
0.539136842,1.6431441,0.4808,1.9912114
0.541663158,1.635322,0.476,1.9946512
0.540126316,1.6391875,0.476,1.9956474
0.539326316,1.638721,0.4752,1.9910312
0.539326316,1.6395308,0.478,1.9807069
0.540021053,1.6389006,0.4744,1.9888787
0.539936842,1.634539,0.4708,1.9914225
